SpecialDelivery9am,0.1,10.85
SpecialDelivery9am,0.5,12.65
SpecialDelivery9am,1,14.75
SpecialDelivery9am,2,18.3
SpecialDeliveryNextDay,0.1,4.95
SpecialDeliveryNextDay,0.5,5.4
SpecialDeliveryNextDay,1,6.7
SpecialDeliveryNextDay,2,8.65
SpecialDeliveryNextDay,10,21.65
FirstClass,0.1,1.28
FirstClass,0.25,1.62
FirstClass,0.5,2.14
FirstClass,0.75,2.65
FirstClass,1,3.25
FirstClass,1.25,4.45
FirstClass,1.5,5.15
FirstClass,1.75,5.85
FirstClass,2,6.55
FirstClass,4,8.22
SecondClass,0.1,1.08
SecondClass,0.25,1.41
SecondClass,0.5,1.85
SecondClass,0.75,2.24
SecondClass,1,2.7
StandardParcel,2,4.41
StandardParcel,4,7.06
StandardParcel,6,9.58
StandardParcel,8,11.74
StandardParcel,10,12.61
StandardParcel,20,14.69
InternationalAirmailPackets,0.01,1.68
InternationalAirmailPackets,0.02,1.68
InternationalAirmailPackets,0.04,1.68
InternationalAirmailPackets,0.06,1.68
InternationalAirmailPackets,0.08,1.68
InternationalAirmailPackets,0.1,1.68
InternationalAirmailPackets,0.12,1.93
InternationalAirmailPackets,0.14,2.19
InternationalAirmailPackets,0.16,2.44
InternationalAirmailPackets,0.18,2.7
InternationalAirmailPackets,0.2,2.94
InternationalAirmailPackets,0.22,3.18
InternationalAirmailPackets,0.24,3.41
InternationalAirmailPackets,0.26,3.64
InternationalAirmailPackets,0.28,3.88
InternationalAirmailPackets,0.3,4.11
InternationalAirmailPackets,0.32,4.35
InternationalAirmailPackets,0.34,4.59
InternationalAirmailPackets,0.36,4.83
InternationalAirmailPackets,0.38,5.07
InternationalAirmailPackets,0.4,5.31
InternationalAirmailPackets,0.42,5.55
InternationalAirmailPackets,0.44,5.79
InternationalAirmailPackets,0.46,6.03
InternationalAirmailPackets,0.48,6.27
InternationalAirmailPackets,0.5,6.51
InternationalAirmailPackets,0.52,6.74
InternationalAirmailPackets,0.54,6.97
InternationalAirmailPackets,0.56,7.2
InternationalAirmailPackets,0.58,7.43
InternationalAirmailPackets,0.6,7.66
InternationalAirmailPackets,0.62,7.89
InternationalAirmailPackets,0.64,8.12
InternationalAirmailPackets,0.66,8.35
InternationalAirmailPackets,0.68,8.58
InternationalAirmailPackets,0.7,8.81
InternationalAirmailPackets,0.72,9.04
InternationalAirmailPackets,0.74,9.27
InternationalAirmailPackets,0.76,9.5
InternationalAirmailPackets,0.78,9.73
InternationalAirmailPackets,0.8,9.96
InternationalAirmailPackets,0.82,10.19
InternationalAirmailPackets,0.84,10.42
InternationalAirmailPackets,0.86,10.65
InternationalAirmailPackets,0.88,10.88
InternationalAirmailPackets,0.9,11.11
InternationalAirmailPackets,0.92,11.34
InternationalAirmailPackets,0.94,11.57
InternationalAirmailPackets,0.96,11.8
InternationalAirmailPackets,0.98,12.03
